,comp_0,comp_1,cuantos,edo_civil
54,-1.4178479071627808,-0.4359247207852237,14,0
55,-1.4953044582698392,-0.5799853629881945,21,0
56,-1.5727610093768973,-0.7240460051911654,19,0
57,-1.650217560483956,-0.8681066473941356,18,0
58,-1.7276741115910144,-1.0121672895971061,14,0
59,-1.8051306626980728,-1.1562279318000772,4,0
60,-1.7816730716742315,0.5443310040553913,11,0
61,-1.85912962278129,0.4002703618524203,7,0
62,-1.9365861738883483,0.2562097196494498,16,0
63,-2.014042724995407,0.1121490774464787,6,0
64,-2.0914992761024647,-0.03191156475649153,13,0
65,-2.1689558272095235,-0.17597220695946245,8,0
66,-2.246412378316582,-0.3200328491624332,10,0
67,-2.3238689294236403,-0.46409349136540357,19,0
68,-2.401325480530699,-0.6081541335683742,17,0
69,-2.478782031637757,-0.752214775771345,15,0
70,-2.556238582744816,-0.8962754179743158,14,0
71,-2.633695133851874,-1.0403360601772862,6,0
72,-0.12336328648289555,0.6724730429127764,1,0
73,-0.4331894909111293,0.0962304741008936,1,0
74,-1.029384308743755,0.6443042723325964,1,0
75,-1.339210513171989,0.06806170352071358,1,0
76,-1.4166670642790478,-0.07599893868225685,3,0
77,-1.494123615386106,-0.22005958088522773,2,0
78,-1.7804922287904983,0.9042567861583579,1,0
79,-2.1677749843257903,0.18395357514350466,2,0
80,-2.3226880865399075,-0.104167709262437,2,0
81,-0.5857409073577798,0.5279607539008864,1,0
82,-0.041183363840904305,2.256236813527615,1,0
83,-1.85912962278129,0.4002703618524203,2,1
84,-2.633695133851874,-1.0403360601772862,1,1
85,-0.12336328648289555,0.6724730429127764,1,1
86,-2.0128618821116735,0.4720748595494463,1,1
87,-0.25731978913821857,-1.0312261050837779,1,0
88,-0.4896894424593941,-1.46340803169269,1,0
89,-0.6986015047567279,-0.19503102244613402,1,0
90,-1.0084277091849616,-0.7712735912580166,1,0
91,-1.0858842602920198,-0.9153342334609876,1,0
92,-1.1633408113990782,-1.059394875663958,2,0
93,-1.2407973625061368,-1.2034555178669284,2,0
94,-1.318253913613195,-1.347516160069899,2,0
95,-1.3957104647202532,-1.4915768022728697,1,0
96,-1.604622527017587,-0.22319979302631365,3,0
97,-1.9919052825528796,-0.9435030040411666,2,0
98,-2.069361833659938,-1.0875636462441376,3,0
99,-2.224274935874055,-1.3756849306500791,1,0
100,-2.301731486981114,-1.5197455728530498,1,0
101,0.20860036038786522,0.19306353023701306,8,0
102,0.13114380928080682,0.049002888034042374,10,0
103,0.053687258173748385,-0.09505775416892819,7,0
104,-0.023769292933310173,-0.239118396371899,4,0
105,-0.10122584404036856,-0.3831790385748697,10,0
106,-0.17868239514742695,-0.5272396807778403,9,0
107,-0.25613894625448536,-0.6713003229808109,15,0
108,-0.3335954973615439,-0.8153609651837815,11,0
109,-0.4110520484686022,-0.9594216073867523,12,0
110,-0.4885085995756608,-1.103482249589723,15,0
111,-0.5659651506827192,-1.2475428917926936,6,0
112,-0.6434217017897778,-1.3916035339956643,2,0
113,-0.619964110765936,0.30895540185980364,20,0
114,-0.6974206618729943,0.16489475965683298,12,0
115,-0.7748772129800527,0.02083411745386226,13,0
116,-0.8523337640871113,-0.12322652474910831,14,0
117,-0.9297903151941698,-0.26728716695207905,29,0
118,-1.0072468663012282,-0.41134780915504965,21,0
119,-1.0847034174082868,-0.5554084513580204,19,0
120,-1.162159968515345,-0.6994690935609909,18,0
121,-1.2396165196224036,-0.8435297357639617,18,0
122,-1.317073070729462,-0.9875903779669323,16,0
123,-1.3945296218365206,-1.1316510201699028,15,0
124,-1.4719861729435788,-1.2757116623728737,5,0
125,-1.448528581919737,0.4248472734825942,5,0
126,-1.5259851330267957,0.2807866312796243,10,0
127,-1.6034416841338544,0.13672598907665323,13,0
128,-1.6808982352409128,-0.007334653126317337,18,0
129,-1.7583547863479712,-0.15139529532928794,22,0
