,edad,edo_civil,escolaridad,hora,mes,mpio,parentesco,cuantos
111,26,CASADO,LICENCIATURA,T,1,MONTERREY,ESPOSO,1
112,30,CASADO,SECUNDARIA,T,1,MONTERREY,NINGUNO,1
113,26,CASADO,SECUNDARIA,T,1,MONTERREY,CONCUBINO,1
114,33,CASADO,SECUNDARIA,M,1,SANTA CATARINA,ESPOSO,1
115,61,CASADO,PRIMARIA,T,1,SANTA CATARINA,NINGUNO,1
116,25,CASADO,SECUNDARIA,N,1,SANTA CATARINA,CONCUBINO,1
117,35,CASADO,PREPARATORIA,N,1,SANTIAGO,NINGUNO,1
118,23,CASADO,SECUNDARIA,M,1,ALLENDE,ESPOSO,1
119,46,CASADO,TÉCNICO,M,1,APODACA,ESPOSO,1
120,39,CASADO,SECUNDARIA,N,1,CIÉNEGA DE FLORES,NINGUNO,1
121,43,CASADO,SECUNDARIA,T,1,EL CARMEN,ESPOSO,1
122,38,CASADO,SECUNDARIA,T,1,ESCOBEDO,ESPOSO,1
123,57,CASADO,PRIMARIA,T,1,ESCOBEDO,ESPOSO,1
124,53,CASADO,SECUNDARIA,T,1,ESCOBEDO,ESPOSO,1
125,25,SOLTERO,SECUNDARIA,N,1,ESCOBEDO,CONCUBINO,1
126,34,CASADO,TÉCNICO,T,1,GARCÍA,ESPOSO,1
127,19,CASADO,SECUNDARIA,N,1,GARCÍA,CONCUBINO,1
128,29,CASADO,SECUNDARIA,T,1,GARCÍA,CONCUBINO,1
129,25,CASADO,PREPARATORIA,T,1,GARCÍA,ESPOSO,1
130,23,SOLTERO,SECUNDARIA,T,1,GUADALUPE,NINGUNO,1
131,39,SOLTERO,TÉCNICO,T,1,GUADALUPE,EXESPOSO,1
132,42,CASADO,SECUNDARIA,T,1,GUADALUPE,NINGUNO,1
133,28,CASADO,LICENCIATURA,T,1,GUADALUPE,NINGUNO,1
134,38,CASADO,PREPARATORIA,M,1,JUÁREZ,ESPOSO,1
135,23,CASADO,PREPARATORIA,T,1,JUÁREZ,ESPOSO,1
136,23,CASADO,PREPARATORIA,N,1,MONTERREY,NINGUNO,1
137,44,SOLTERO,TÉCNICO,N,1,MONTERREY,NINGUNO,1
138,26,CASADO,PRIMARIA,M,1,MONTERREY,CONCUBINO,1
139,37,CASADO,PRIMARIA,N,1,MONTERREY,NINGUNO,1
140,67,CASADO,SECUNDARIA,M,1,SAN NICOLÁS DE LOS GARZA,MADRE,1
141,20,SOLTERO,LICENCIATURA,M,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,1
142,40,CASADO,SECUNDARIA,T,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,1
143,41,CASADO,LICENCIATURA,M,1,SAN NICOLÁS DE LOS GARZA,ESPOSO,1
144,40,CASADO,LICENCIATURA,N,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,1
145,69,CASADO,PRIMARIA,T,1,SAN NICOLÁS DE LOS GARZA,HIJO,1
146,52,CASADO,LICENCIATURA,N,1,SANTA CATARINA,ESPOSO,1
147,21,CASADO,PRIMARIA,M,1,SANTA CATARINA,NINGUNO,1
148,25,SOLTERO,SECUNDARIA,T,1,ZUAZUA,EXESPOSO,1
149,11,SOLTERO,PRIMARIA,T,1,JUÁREZ,MADRE,1
150,51,SOLTERO,SECUNDARIA,T,1,JUÁREZ,HIJO,1
151,14,SOLTERO,SECUNDARIA,N,1,MONTEMORELOS,HIJO,1
152,52,CASADO,SECUNDARIA,N,1,MONTEMORELOS,ESPOSO,1
153,4,SOLTERO,NINGUNO,M,1,MONTERREY,HIJO,1
154,25,CASADO,NINGUNO,M,1,MONTERREY,CONCUBINO,1
156,28,CASADO,SECUNDARIA,N,1,GARCÍA,CONCUBINO,1
157,39,CASADO,SECUNDARIA,N,1,GARCÍA,NINGUNO,1
158,19,SOLTERO,SECUNDARIA,T,1,MONTERREY,CONCUBINO,1
159,48,CASADO,PRIMARIA,T,1,MONTERREY,NINGUNO,1
160,30,CASADO,PRIMARIA,T,1,SALINAS VICTORIA,NINGUNO,1
161,27,CASADO,SECUNDARIA,N,1,GARCÍA,NINGUNO,1
162,36,CASADO,SECUNDARIA,N,1,GUADALUPE,CONCUBINO,1
163,17,SOLTERO,SECUNDARIA,N,1,CIÉNEGA DE FLORES,PADRE,1
164,30,SOLTERO,PREPARATORIA,N,1,CIÉNEGA DE FLORES,NINGUNO,1
165,13,SOLTERO,PRIMARIA,N,1,ESCOBEDO,NINGUNO,1
166,33,CASADO,SECUNDARIA,N,1,ESCOBEDO,ESPOSO,1
167,5,SOLTERO,PRIMARIA,N,1,GUADALUPE,NINGUNO,1
