edad_a,edad_v,escolaridad,hora,mes,mpio,parentesco,sexo_a,sexo_v
43,67,SECUNDARIA,0,1,SAN NICOLÁS DE LOS GARZA,MADRE,0,1
53,20,LICENCIATURA,0,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,0,1
43,40,SECUNDARIA,1,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,0,0
45,41,LICENCIATURA,0,1,SAN NICOLÁS DE LOS GARZA,ESPOSO,0,1
32,40,LICENCIATURA,2,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,0,1
33,69,PRIMARIA,1,1,SAN NICOLÁS DE LOS GARZA,HIJO,1,0
33,52,LICENCIATURA,2,1,SANTA CATARINA,ESPOSO,1,0
23,21,PRIMARIA,0,1,SANTA CATARINA,NINGUNO,0,0
40,25,SECUNDARIA,1,1,ZUAZUA,EXESPOSO,0,1
30,28,SECUNDARIA,2,1,GARCÍA,CONCUBINO,0,1
19,39,SECUNDARIA,2,1,GARCÍA,NINGUNO,0,1
23,19,SECUNDARIA,1,1,MONTERREY,CONCUBINO,0,1
34,48,PRIMARIA,1,1,MONTERREY,NINGUNO,1,0
38,30,PRIMARIA,1,1,SALINAS VICTORIA,NINGUNO,0,1
24,27,SECUNDARIA,2,1,GARCÍA,NINGUNO,0,1
35,36,SECUNDARIA,2,1,GUADALUPE,CONCUBINO,0,1
33,32,SECUNDARIA,2,1,APODACA,ESPOSO,0,1
41,57,PREPARATORIA,1,1,APODACA,CONCUBINO,1,0
35,33,SECUNDARIA,2,1,APODACA,ESPOSO,0,1
47,47,TÉCNICO,2,1,APODACA,ESPOSO,0,1
33,35,POSGRADO,2,1,APODACA,ESPOSO,1,0
53,50,TÉCNICO,0,1,APODACA,ESPOSO,0,1
21,20,PREPARATORIA,1,1,APODACA,ESPOSO,0,1
57,56,NINGUNO,0,1,DOCTOR ARROYO,ESPOSO,0,1
44,36,SECUNDARIA,2,1,DOCTOR ARROYO,ESPOSO,0,1
28,72,NINGUNO,1,1,DOCTOR ARROYO,HIJO,0,0
43,42,TÉCNICO,2,1,EL CARMEN,ESPOSO,1,0
37,34,PRIMARIA,1,1,ESCOBEDO,ESPOSO,0,1
30,35,SECUNDARIA,2,1,ESCOBEDO,UL,0,1
37,35,SECUNDARIA,1,1,GARCÍA,CONCUBINO,0,1
36,38,PRIMARIA,0,1,GARCÍA,NINGUNO,0,1
32,33,SECUNDARIA,2,1,GARCÍA,CONCUBINO,0,1
38,38,LICENCIATURA,1,1,GUADALUPE,ESPOSO,0,1
36,32,LICENCIATURA,2,1,GUADALUPE,ESPOSO,1,0
38,44,SECUNDARIA,0,1,GUADALUPE,NINGUNO,0,1
53,55,SECUNDARIA,2,1,GUADALUPE,NINGUNO,0,1
38,20,LICENCIATURA,0,1,GUADALUPE,PADRE,0,1
30,29,PREPARATORIA,0,1,JUÁREZ,EXESPOSO,0,1
20,21,SECUNDARIA,1,1,MONTERREY,CONCUBINO,0,1
29,24,SECUNDARIA,0,1,PESQUERÍA,CONCUBINO,0,1
33,38,SECUNDARIA,2,1,PESQUERÍA,CONCUBINO,0,1
43,24,SECUNDARIA,1,1,SAN PEDRO GARZA GARCÍA,MADRE,1,1
38,31,SECUNDARIA,2,1,SANTA CATARINA,ESPOSO,0,1
34,33,LICENCIATURA,2,1,SANTA CATARINA,ESPOSO,1,0
28,50,PRIMARIA,2,1,SANTIAGO,NINGUNO,0,1
53,31,PRIMARIA,1,1,ALLENDE,HIJO,0,0
38,35,TÉCNICO,1,1,ALLENDE,ESPOSO,0,1
34,32,SECUNDARIA,2,1,ESCOBEDO,CONCUBINO,0,1
24,22,SECUNDARIA,2,1,GARCÍA,CONCUBINO,0,1
32,31,SECUNDARIA,1,1,GARCÍA,ESPOSO,0,1
